channel 5, range 120, amp 507, level 7, msec 1540979392556, tick 418026
channel 5, range 120, amp 510, level 7, msec 1540979392556, tick 418032
channel 5, range 120, amp 510, level 7, msec 1540979392556, tick 418038
channel 6, range 123, amp 740, level 7, msec 1540979392556, tick 419799
channel 6, range 124, amp 738, level 7, msec 1540979392557, tick 419805
channel 5, range 120, amp 509, level 7, msec 1540979392557, tick 418043
channel 5, range 120, amp 510, level 7, msec 1540979392557, tick 418049
channel 6, range 124, amp 740, level 7, msec 1540979392558, tick 419810
channel 5, range 120, amp 508, level 7, msec 1540979392561, tick 418054
channel 5, range 120, amp 508, level 7, msec 1540979392571, tick 418060
channel 6, range 124, amp 741, level 7, msec 1540979392572, tick 419816
channel 6, range 124, amp 739, level 7, msec 1540979392572, tick 419821
channel 5, range 120, amp 510, level 7, msec 1540979392572, tick 418065
channel 6, range 124, amp 741, level 7, msec 1540979392574, tick 419827
channel 5, range 120, amp 510, level 7, msec 1540979392577, tick 418071
channel 6, range 125, amp 737, level 7, msec 1540979392581, tick 419832
channel 5, range 120, amp 510, level 7, msec 1540979392583, tick 418076
channel 6, range 124, amp 740, level 7, msec 1540979392585, tick 419838
channel 5, range 120, amp 508, level 7, msec 1540979392588, tick 418082
channel 6, range 124, amp 740, level 7, msec 1540979392592, tick 419843
channel 5, range 120, amp 510, level 7, msec 1540979392594, tick 418087
channel 6, range 124, amp 740, level 7, msec 1540979392619, tick 419849
channel 6, range 124, amp 736, level 7, msec 1540979392619, tick 419854
channel 6, range 124, amp 740, level 7, msec 1540979392619, tick 419860
channel 6, range 123, amp 740, level 7, msec 1540979392619, tick 419865
channel 6, range 124, amp 741, level 7, msec 1540979392619, tick 419871
channel 5, range 120, amp 509, level 7, msec 1540979392619, tick 418093
channel 5, range 120, amp 508, level 7, msec 1540979392619, tick 418099
channel 5, range 121, amp 508, level 7, msec 1540979392619, tick 418104
channel 5, range 121, amp 509, level 7, msec 1540979392619, tick 418110
channel 6, range 125, amp 739, level 7, msec 1540979392625, tick 419877
channel 5, range 120, amp 510, level 7, msec 1540979392625, tick 418115
channel 5, range 120, amp 509, level 7, msec 1540979392627, tick 418121
channel 6, range 124, amp 741, level 7, msec 1540979392639, tick 419882
channel 6, range 125, amp 737, level 7, msec 1540979392639, tick 419888
channel 5, range 121, amp 508, level 7, msec 1540979392639, tick 418126
channel 5, range 120, amp 510, level 7, msec 1540979392639, tick 418132
channel 6, range 124, amp 741, level 7, msec 1540979392641, tick 419893
channel 5, range 120, amp 509, level 7, msec 1540979392645, tick 418137
channel 6, range 124, amp 741, level 7, msec 1540979392646, tick 419899
channel 5, range 120, amp 510, level 7, msec 1540979392650, tick 418143
channel 6, range 124, amp 739, level 7, msec 1540979392653, tick 419904
channel 6, range 124, amp 740, level 7, msec 1540979392661, tick 419910
channel 5, range 121, amp 507, level 7, msec 1540979392661, tick 418148
channel 5, range 120, amp 509, level 7, msec 1540979392661, tick 418154
channel 6, range 124, amp 739, level 7, msec 1540979392665, tick 419915
channel 6, range 124, amp 740, level 7, msec 1540979392671, tick 419921
channel 5, range 120, amp 511, level 7, msec 1540979392671, tick 418160
channel 6, range 124, amp 743, level 7, msec 1540979392675, tick 419927
channel 5, range 120, amp 507, level 7, msec 1540979392675, tick 418165
channel 5, range 120, amp 509, level 7, msec 1540979392677, tick 418171
channel 6, range 124, amp 740, level 7, msec 1540979392681, tick 419932
channel 5, range 120, amp 509, level 7, msec 1540979392683, tick 418176
channel 6, range 124, amp 741, level 7, msec 1540979392685, tick 419938
channel 5, range 121, amp 508, level 7, msec 1540979392688, tick 418182
channel 6, range 124, amp 741, level 7, msec 1540979392691, tick 419943
channel 5, range 120, amp 510, level 7, msec 1540979392694, tick 418187
channel 6, range 125, amp 741, level 7, msec 1540979392707, tick 419949
channel 6, range 124, amp 740, level 7, msec 1540979392707, tick 419954
channel 5, range 120, amp 509, level 7, msec 1540979392707, tick 418193
channel 5, range 120, amp 510, level 7, msec 1540979392707, tick 418198
channel 6, range 124, amp 739, level 7, msec 1540979392708, tick 419960
channel 5, range 121, amp 508, level 7, msec 1540979392711, tick 418204
channel 6, range 124, amp 741, level 7, msec 1540979392713, tick 419965
channel 5, range 120, amp 510, level 7, msec 1540979392717, tick 418209
channel 6, range 124, amp 740, level 7, msec 1540979392718, tick 419971
channel 5, range 120, amp 509, level 7, msec 1540979392722, tick 418215
channel 6, range 123, amp 740, level 7, msec 1540979392724, tick 419976
channel 5, range 120, amp 510, level 7, msec 1540979392729, tick 418221
channel 6, range 124, amp 740, level 7, msec 1540979392730, tick 419982
channel 5, range 120, amp 507, level 7, msec 1540979392734, tick 418226
channel 6, range 123, amp 740, level 7, msec 1540979392735, tick 419987
channel 5, range 121, amp 508, level 7, msec 1540979392740, tick 418232
channel 6, range 124, amp 739, level 7, msec 1540979392742, tick 419993
channel 5, range 120, amp 509, level 7, msec 1540979392746, tick 418237
channel 6, range 123, amp 741, level 7, msec 1540979392757, tick 419999
channel 6, range 124, amp 739, level 7, msec 1540979392758, tick 420004
channel 6, range 123, amp 740, level 7, msec 1540979392758, tick 420010
channel 5, range 120, amp 510, level 7, msec 1540979392758, tick 418243
channel 5, range 121, amp 508, level 7, msec 1540979392758, tick 418248
channel 6, range 124, amp 741, level 7, msec 1540979392763, tick 420015
channel 5, range 120, amp 511, level 7, msec 1540979392763, tick 418254
channel 5, range 121, amp 508, level 7, msec 1540979392766, tick 418259
channel 6, range 124, amp 740, level 7, msec 1540979392796, tick 420021
channel 6, range 124, amp 740, level 7, msec 1540979392796, tick 420026
channel 6, range 125, amp 740, level 7, msec 1540979392796, tick 420032
channel 6, range 124, amp 740, level 7, msec 1540979392796, tick 420037
channel 6, range 125, amp 737, level 7, msec 1540979392796, tick 420043
channel 6, range 124, amp 740, level 7, msec 1540979392796, tick 420048
channel 5, range 120, amp 511, level 7, msec 1540979392796, tick 418265
channel 5, range 118, amp 510, level 7, msec 1540979392796, tick 418270
channel 5, range 121, amp 509, level 7, msec 1540979392796, tick 418276
channel 5, range 120, amp 510, level 7, msec 1540979392796, tick 418282
channel 5, range 121, amp 505, level 7, msec 1540979392796, tick 418287
channel 5, range 120, amp 510, level 7, msec 1540979392800, tick 418293
channel 6, range 124, amp 737, level 7, msec 1540979392804, tick 420054
channel 6, range 124, amp 741, level 7, msec 1540979392807, tick 420060
channel 5, range 120, amp 510, level 7, msec 1540979392807, tick 418298
channel 5, range 121, amp 508, level 7, msec 1540979392811, tick 418304
channel 6, range 124, amp 741, level 7, msec 1540979392812, tick 420065
channel 5, range 121, amp 508, level 7, msec 1540979392816, tick 418309
channel 6, range 123, amp 739, level 7, msec 1540979392818, tick 420071
channel 5, range 121, amp 508, level 7, msec 1540979392823, tick 418315
channel 6, range 125, amp 742, level 7, msec 1540979392823, tick 420076
channel 5, range 120, amp 510, level 7, msec 1540979392827, tick 418320
channel 6, range 124, amp 740, level 7, msec 1540979392829, tick 420082
channel 5, range 121, amp 508, level 7, msec 1540979392833, tick 418326
channel 6, range 124, amp 741, level 7, msec 1540979392834, tick 420087
channel 5, range 121, amp 507, level 7, msec 1540979392839, tick 418331
channel 6, range 124, amp 741, level 7, msec 1540979392840, tick 420093
channel 5, range 120, amp 510, level 7, msec 1540979392844, tick 418337
channel 6, range 124, amp 740, level 7, msec 1540979392845, tick 420098
channel 5, range 120, amp 509, level 7, msec 1540979392850, tick 418343
channel 6, range 124, amp 742, level 7, msec 1540979392851, tick 420104
channel 5, range 120, amp 508, level 7, msec 1540979392855, tick 418348
channel 6, range 124, amp 740, level 7, msec 1540979392860, tick 420109
channel 5, range 120, amp 510, level 7, msec 1540979392861, tick 418354
channel 6, range 124, amp 740, level 7, msec 1540979392862, tick 420115
channel 5, range 120, amp 511, level 7, msec 1540979392867, tick 418359
channel 6, range 124, amp 740, level 7, msec 1540979392868, tick 420121
channel 5, range 120, amp 510, level 7, msec 1540979392872, tick 418365
channel 6, range 125, amp 735, level 7, msec 1540979392873, tick 420126
channel 5, range 121, amp 508, level 7, msec 1540979392878, tick 418370
channel 6, range 124, amp 740, level 7, msec 1540979392879, tick 420132
channel 5, range 120, amp 509, level 7, msec 1540979392883, tick 418376
channel 6, range 125, amp 737, level 7, msec 1540979392884, tick 420137
channel 5, range 120, amp 509, level 7, msec 1540979392889, tick 418381
channel 6, range 124, amp 741, level 7, msec 1540979392890, tick 420143
channel 5, range 120, amp 510, level 7, msec 1540979392895, tick 418387
channel 6, range 124, amp 736, level 7, msec 1540979392895, tick 420148
