channel 9, range 144, amp 634, level 8, msec 1540981195857, tick 12517589
channel 9, range 143, amp 632, level 8, msec 1540981195863, tick 12517596
channel 8, range 141, amp 674, level 7, msec 1540981195871, tick 2227224
channel 8, range 143, amp 674, level 7, msec 1540981195873, tick 2227229
channel 9, range 144, amp 635, level 8, msec 1540981195870, tick 12517602
channel 8, range 141, amp 674, level 7, msec 1540981195881, tick 2227235
channel 8, range 141, amp 680, level 7, msec 1540981195885, tick 2227240
channel 9, range 144, amp 633, level 8, msec 1540981195876, tick 12517608
channel 9, range 144, amp 635, level 8, msec 1540981195883, tick 12517615
channel 8, range 143, amp 673, level 7, msec 1540981195891, tick 2227246
channel 8, range 144, amp 666, level 7, msec 1540981195895, tick 2227252
channel 9, range 144, amp 635, level 8, msec 1540981195889, tick 12517621
channel 9, range 143, amp 636, level 8, msec 1540981195895, tick 12517627
channel 9, range 144, amp 631, level 8, msec 1540981195902, tick 12517634
channel 8, range 141, amp 673, level 7, msec 1540981195901, tick 2227257
channel 8, range 145, amp 659, level 7, msec 1540981195906, tick 2227263
channel 9, range 144, amp 634, level 8, msec 1540981195908, tick 12517640
channel 9, range 144, amp 633, level 8, msec 1540981195915, tick 12517647
channel 8, range 143, amp 675, level 7, msec 1540981195913, tick 2227268
channel 8, range 143, amp 674, level 7, msec 1540981195918, tick 2227274
channel 9, range 143, amp 633, level 8, msec 1540981195921, tick 12517653
channel 8, range 145, amp 678, level 7, msec 1540981195924, tick 2227279
channel 8, range 141, amp 674, level 7, msec 1540981195931, tick 2227285
channel 9, range 144, amp 634, level 8, msec 1540981195927, tick 12517659
channel 9, range 144, amp 632, level 8, msec 1540981195934, tick 12517666
channel 8, range 140, amp 678, level 7, msec 1540981195935, tick 2227290
channel 8, range 141, amp 673, level 7, msec 1540981195941, tick 2227296
channel 9, range 143, amp 635, level 8, msec 1540981195940, tick 12517672
channel 9, range 144, amp 632, level 8, msec 1540981195947, tick 12517679
channel 8, range 141, amp 674, level 7, msec 1540981195947, tick 2227302
channel 8, range 143, amp 674, level 7, msec 1540981195952, tick 2227307
channel 9, range 143, amp 634, level 8, msec 1540981195952, tick 12517685
channel 8, range 141, amp 664, level 7, msec 1540981195956, tick 2227313
channel 8, range 141, amp 674, level 7, msec 1540981195962, tick 2227318
channel 9, range 143, amp 635, level 8, msec 1540981195959, tick 12517691
channel 9, range 144, amp 634, level 8, msec 1540981195965, tick 12517698
channel 8, range 139, amp 679, level 7, msec 1540981195968, tick 2227324
channel 8, range 141, amp 675, level 7, msec 1540981195973, tick 2227329
channel 9, range 144, amp 633, level 8, msec 1540981195971, tick 12517704
channel 8, range 144, amp 680, level 7, msec 1540981195978, tick 2227335
channel 8, range 143, amp 674, level 7, msec 1540981195984, tick 2227340
channel 9, range 144, amp 632, level 8, msec 1540981195978, tick 12517710
channel 9, range 143, amp 635, level 8, msec 1540981195984, tick 12517717
channel 8, range 141, amp 668, level 7, msec 1540981195989, tick 2227346
channel 9, range 144, amp 634, level 8, msec 1540981195991, tick 12517723
channel 9, range 144, amp 636, level 8, msec 1540981195997, tick 12517730
channel 8, range 143, amp 673, level 7, msec 1540981195997, tick 2227351
channel 8, range 147, amp 668, level 7, msec 1540981196000, tick 2227357
channel 9, range 144, amp 632, level 8, msec 1540981196004, tick 12517736
channel 9, range 143, amp 635, level 8, msec 1540981196010, tick 12517742
channel 9, range 144, amp 633, level 8, msec 1540981196016, tick 12517749
channel 9, range 143, amp 635, level 8, msec 1540981196023, tick 12517755
channel 9, range 144, amp 633, level 8, msec 1540981196029, tick 12517762
channel 9, range 143, amp 633, level 8, msec 1540981196036, tick 12517768
channel 8, range 141, amp 674, level 7, msec 1540981196046, tick 2227363
channel 8, range 143, amp 682, level 7, msec 1540981196046, tick 2227368
channel 8, range 143, amp 674, level 7, msec 1540981196046, tick 2227374
channel 8, range 143, amp 672, level 7, msec 1540981196046, tick 2227379
channel 8, range 143, amp 675, level 7, msec 1540981196046, tick 2227386
channel 8, range 145, amp 658, level 7, msec 1540981196046, tick 2227391
channel 8, range 143, amp 674, level 7, msec 1540981196046, tick 2227397
channel 8, range 144, amp 667, level 7, msec 1540981196046, tick 2227403
channel 9, range 144, amp 636, level 8, msec 1540981196042, tick 12517774
channel 9, range 144, amp 632, level 8, msec 1540981196048, tick 12517781
channel 8, range 140, amp 671, level 7, msec 1540981196053, tick 2227408
channel 8, range 143, amp 674, level 7, msec 1540981196057, tick 2227414
channel 9, range 144, amp 635, level 8, msec 1540981196054, tick 12517787
channel 8, range 140, amp 678, level 7, msec 1540981196066, tick 2227419
channel 8, range 141, amp 673, level 7, msec 1540981196068, tick 2227425
channel 9, range 144, amp 631, level 8, msec 1540981196061, tick 12517793
channel 9, range 143, amp 634, level 8, msec 1540981196067, tick 12517800
channel 8, range 145, amp 673, level 7, msec 1540981196075, tick 2227430
channel 8, range 143, amp 673, level 7, msec 1540981196079, tick 2227436
channel 9, range 144, amp 635, level 8, msec 1540981196073, tick 12517806
channel 9, range 145, amp 636, level 8, msec 1540981196080, tick 12517813
channel 8, range 140, amp 670, level 7, msec 1540981196085, tick 2227441
channel 8, range 141, amp 674, level 7, msec 1540981196090, tick 2227447
channel 9, range 144, amp 631, level 8, msec 1540981196086, tick 12517819
channel 8, range 146, amp 664, level 7, msec 1540981196095, tick 2227452
channel 8, range 141, amp 674, level 7, msec 1540981196101, tick 2227458
channel 9, range 143, amp 632, level 8, msec 1540981196093, tick 12517825
channel 9, range 144, amp 632, level 8, msec 1540981196099, tick 12517832
channel 9, range 144, amp 632, level 8, msec 1540981196105, tick 12517838
channel 9, range 144, amp 636, level 8, msec 1540981196112, tick 12517845
channel 9, range 144, amp 630, level 8, msec 1540981196118, tick 12517851
channel 9, range 143, amp 635, level 8, msec 1540981196125, tick 12517857
channel 9, range 145, amp 632, level 8, msec 1540981196131, tick 12517864
channel 9, range 143, amp 634, level 8, msec 1540981196137, tick 12517870
channel 9, range 144, amp 634, level 8, msec 1540981196144, tick 12517877
channel 9, range 144, amp 631, level 8, msec 1540981196150, tick 12517883
channel 8, range 143, amp 684, level 7, msec 1540981196159, tick 2227464
channel 8, range 141, amp 674, level 7, msec 1540981196159, tick 2227469
channel 8, range 143, amp 662, level 7, msec 1540981196159, tick 2227475
channel 8, range 143, amp 674, level 7, msec 1540981196160, tick 2227480
channel 8, range 145, amp 668, level 7, msec 1540981196160, tick 2227486
channel 8, range 141, amp 674, level 7, msec 1540981196160, tick 2227491
channel 8, range 143, amp 683, level 7, msec 1540981196160, tick 2227497
channel 8, range 141, amp 675, level 7, msec 1540981196160, tick 2227502
channel 8, range 144, amp 666, level 7, msec 1540981196160, tick 2227508
channel 8, range 141, amp 674, level 7, msec 1540981196160, tick 2227514
channel 8, range 141, amp 675, level 7, msec 1540981196162, tick 2227519
channel 8, range 139, amp 670, level 7, msec 1540981196168, tick 2227525
channel 8, range 141, amp 674, level 7, msec 1540981196173, tick 2227530
channel 8, range 144, amp 675, level 7, msec 1540981196178, tick 2227536
channel 8, range 143, amp 674, level 7, msec 1540981196184, tick 2227541
channel 9, range 144, amp 635, level 8, msec 1540981196179, tick 12517889
channel 9, range 144, amp 629, level 8, msec 1540981196179, tick 12517896
channel 9, range 144, amp 635, level 8, msec 1540981196179, tick 12517902
channel 9, range 144, amp 632, level 8, msec 1540981196179, tick 12517908
channel 9, range 144, amp 635, level 8, msec 1540981196182, tick 12517915
